openTimeMs,open,high,low,close,volume,closeTimeMs,quoteAssetVolume,tradeCount,takerBuyBaseVolume,takerBuyQuoteVolume,ignore
1609459200000,50161.57142862,50379.80754431,49666.16199205,50000.00000000,1000.00000000,1609462799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609462800000,49744.82316744,49804.06068167,49660.84113313,49711.81934084,1000.00000000,1609466399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609466400000,49289.31548015,49725.60473568,48970.86655820,49366.01214018,1000.00000000,1609469999999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609470000000,49287.66144985,49647.23130446,49059.34980171,49143.38041705,1000.00000000,1609473599999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609473600000,50447.15976293,50588.46531591,50135.11326618,50547.34786724,1000.00000000,1609477199999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609477200000,50445.82518026,50608.37613619,50043.90669562,50292.17129968,1000.00000000,1609480799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609480800000,47159.28580633,47669.41687727,46813.44352784,47297.46447100,1000.00000000,1609484399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609484400000,48152.58357230,48476.89226028,47609.53467727,47962.10115913,1000.00000000,1609487999999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609488000000,47237.34074690,47722.05199084,47104.46655972,47427.42620214,1000.00000000,1609491599999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609491600000,47165.83518827,47486.72924384,46647.88322250,46993.50883385,1000.00000000,1609495199999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609495200000,47349.57813388,47456.30041772,46910.32860359,47225.27840725,1000.00000000,1609498799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609498800000,47533.11213162,48038.74059422,47189.67483109,47689.87388106,1000.00000000,1609502399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609502400000,49905.96474128,50343.62589650,49721.84344741,50016.99125426,1000.00000000,1609505999999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609506000000,51252.34061479,51648.40246752,51161.30241983,51330.26426786,1000.00000000,1609509599999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609509600000,51360.74439663,51628.53053808,51229.43961615,51551.27862274,1000.00000000,1609513199999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609513200000,50220.37659487,50607.13223649,49962.98542097,50074.63541806,1000.00000000,1609516799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609516800000,48101.90337852,48261.77473227,47652.85080820,48045.31068308,1000.00000000,1609520399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609520400000,48552.48136649,48928.17622262,48491.85837276,48537.99507350,1000.00000000,1609523999999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609524000000,51348.31697232,51419.74409879,50775.14300161,51160.15672791,1000.00000000,1609527599999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609527600000,51149.65700073,51286.83147460,50975.83149730,51243.47045572,1000.00000000,1609531199999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609531200000,51122.24189244,51247.71281811,50788.34032685,51030.82386818,1000.00000000,1609534799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609534800000,52098.94553285,52253.02370618,51863.74109158,52094.37630898,1000.00000000,1609538399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609538400000,49089.17471542,49470.79982649,49088.49820413,49187.28571296,1000.00000000,1609541999999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609542000000,48732.96114487,48948.34194371,48274.95907901,48562.73107867,1000.00000000,1609545599999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609545600000,49640.23617499,49908.48757677,49397.76755515,49543.45614386,1000.00000000,1609549199999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609549200000,51118.25443907,51555.95998858,50986.17442465,51290.26491462,1000.00000000,1609552799999,50000000.00000000,1000,500.00000000,25000000.00000000,0
1609552800000,50734.57182733,51148.21168111,50446.67012212,50809.00556931,1000.00000000,1609556399999,50000000.00000000,1000,500.00000000,25000000.00000000,0
